成品电导率,成品PH值,成品浓度,成品浊度,成品温度,成品表面张力,成品COD,柠檬酸,置换量,离子液添加量,原液添加比例,异常类型
8.52,5.92,1.30%,49.6,25.3,28.1,24287.5,柠檬酸0g,6.00%,7.00%,0.92,nan
8.68,6.1,1.30%,52.5,24.9,27.9,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
8.4,6.05,1.28%,40.3,24.6,28.0,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
nan,nan,nan,nan,nan,nan,24607.5,nan,nan,nan,nan,跳线
8.36,6.14,1.28%,75.2,25.1,27.9,24607.5,柠檬酸0g,6.00%,7.00%,0.85,跳线
9.57,5.84,1.29%,46.8,25.1,28.0,24105.0,柠檬酸0g,6.00%,7.00%,0.92,nan
8.57,5.96,1.30%,53.7,25.4,27.8,24287.5,柠檬酸0g,6.00%,7.00%,0.91,nan
8.56,6.01,1.30%,57.1,25.1,27.8,24287.5,柠檬酸0g,6.00%,7.00%,0.91,nan
8.7,6.0,1.28%,65.6,24.6,28.3,24130.0,柠檬酸0g,5.00%,7.00%,0.92,断缝
8.7,6.0,1.28%,65.6,24.6,28.3,24130.0,柠檬酸0g,5.00%,7.00%,0.92,nan
8.62,6.1,1.29%,50.7,24.6,28.0,24500.0,柠檬酸0g,6.00%,7.00%,0.91,断缝
9.57,5.84,1.29%,46.8,25.1,28.0,24105.0,柠檬酸0g,6.00%,7.00%,0.92,nan
9.4,6.07,1.30%,70.6,24.8,28.1,24500.0,柠檬酸0g,6.00%,7.00%,0.91,跳线
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,跳线
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,nan
9.41,6.07,1.30%,38.8,25.6,28.1,24500.0,柠檬酸0g,6.00%,7.00%,0.92,nan
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,断缝
8.89,5.9,1.29%,43.1,25.1,28.0,24105.0,柠檬酸0g,6.00%,7.00%,0.91,加切
9.2,6.15,1.28%,57.4,25.6,28.1,23107.5,柠檬酸0g,5.00%,7.00%,0.92,nan
9.6,6.16,1.28%,61.6,25.7,28.1,23107.5,柠檬酸0g,5.00%,7.00%,0.92,nan
nan,nan,nan,nan,nan,nan,24105.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24240.0,nan,nan,nan,nan,跳线
9.12,5.97,1.28%,62.8,25.1,28.0,24130.0,柠檬酸0g,5.00%,7.00%,0.92,nan
8.71,5.92,1.28%,65.1,25.1,28.1,24000.0,柠檬酸0g,5.00%,7.00%,0.91,nan
nan,nan,nan,nan,nan,nan,24000.0,nan,nan,nan,nan,nan
9.59,6.06,1.30%,48.6,25.1,28.3,24500.0,柠檬酸0g,6.00%,7.00%,0.92,nan
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,跳线
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
8.59,5.98,1.30%,60.4,25.3,27.9,24287.5,柠檬酸0g,6.00%,7.00%,0.92,nan
8.75,5.89,1.29%,51.6,24.9,27.9,24287.5,柠檬酸0g,6.00%,7.00%,0.92,nan
8.4,6.09,1.28%,55.4,25.1,27.9,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24105.0,nan,nan,nan,nan,提料挂断线
nan,nan,nan,nan,nan,nan,24075.0,nan,nan,nan,nan,nan
8.52,5.92,1.30%,49.6,25.3,28.1,24287.5,柠檬酸0g,6.00%,7.00%,0.92,跳线
8.52,5.92,1.30%,49.6,25.3,28.1,24287.5,柠檬酸0g,6.00%,7.00%,0.92,跳线
8.86,6.04,1.29%,56.9,25.5,28.2,24500.0,柠檬酸0g,6.00%,7.00%,0.91,断缝
nan,nan,nan,nan,nan,nan,24000.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24105.0,nan,nan,nan,nan,加切
9.57,5.84,1.29%,46.8,25.1,28.0,24105.0,柠檬酸0g,6.00%,7.00%,0.92,nan
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,跳线
9.54,6.12,1.29%,53.6,25.8,28.1,24500.0,柠檬酸0g,6.00%,7.00%,0.92,nan
9.4,6.07,1.30%,70.6,24.8,28.1,24500.0,柠檬酸0g,6.00%,7.00%,0.91,加切
9.59,6.06,1.30%,48.6,25.1,28.3,24500.0,柠檬酸0g,6.00%,7.00%,0.92,nan
nan,nan,nan,nan,nan,nan,24240.0,nan,nan,nan,nan,nan
9.41,6.07,1.30%,38.8,25.6,28.1,24500.0,柠檬酸0g,6.00%,7.00%,0.92,nan
8.52,5.92,1.30%,49.6,25.3,28.1,24287.5,柠檬酸0g,6.00%,7.00%,0.92,nan
nan,nan,nan,nan,nan,nan,24075.0,nan,nan,nan,nan,断上下线
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,nan
8.98,6.06,1.29%,46.0,25.6,28.2,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,nan
8.4,6.05,1.28%,40.3,24.6,28.0,24607.5,柠檬酸0g,6.00%,7.00%,0.85,断缝
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
8.68,6.03,1.30%,60.1,25.6,27.8,24287.5,柠檬酸0g,6.00%,7.00%,0.92,断上下线
8.81,6.08,1.29%,53.0,24.5,28.1,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
8.59,6.05,1.29%,48.5,24.3,28.2,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
nan,nan,nan,nan,nan,nan,24287.5,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24287.5,nan,nan,nan,nan,断缝
nan,nan,nan,nan,nan,nan,24105.0,nan,nan,nan,nan,跳线
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
9.54,6.12,1.29%,53.6,25.8,28.1,24500.0,柠檬酸0g,6.00%,7.00%,0.92,设备故障
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
8.56,6.01,1.30%,57.1,25.1,27.8,24287.5,柠檬酸0g,6.00%,7.00%,0.91,跳线
8.48,5.97,1.30%,61.3,25.6,27.9,24287.5,柠檬酸0g,6.00%,7.00%,0.91,提料挂断线
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,断缝
8.59,6.05,1.29%,48.5,24.3,28.2,24607.5,柠檬酸0g,6.00%,7.00%,0.85,断缝
9.5,5.99,1.30%,67.6,26.6,28.1,24075.0,转换阶段,6.00%,7.00%,0.92,nan
8.52,5.92,1.30%,49.6,25.3,28.1,24287.5,柠檬酸0g,6.00%,7.00%,0.92,断缝
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,跳线
8.63,5.93,1.29%,53.6,25.0,28.0,24075.0,柠檬酸0g,6.00%,7.00%,0.91,nan
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,跳线
9.12,5.97,1.28%,62.8,25.1,28.0,24130.0,柠檬酸0g,5.00%,7.00%,0.92,nan
8.72,6.02,1.30%,81.2,25.5,28.1,24075.0,柠檬酸0g,5.00%,7.00%,0.91,nan
nan,nan,nan,nan,nan,nan,24240.0,nan,nan,nan,nan,nan
8.97,6.1,1.29%,50.6,25.1,28.0,24240.0,柠檬酸0g,6.00%,7.00%,0.91,加切
nan,nan,nan,nan,nan,nan,24240.0,nan,nan,nan,nan,加切
8.68,5.95,1.29%,51.5,24.8,28.1,24287.5,柠檬酸0g,6.00%,7.00%,0.91,nan
8.67,6.09,1.29%,61.0,25.3,28.1,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
9.04,5.91,1.30%,45.5,25.1,27.9,24287.5,柠檬酸0g,6.00%,7.00%,0.91,nan
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
8.97,5.98,1.29%,49.6,24.9,28.2,24130.0,柠檬酸0g,5.00%,7.00%,0.91,nan
nan,nan,nan,nan,nan,nan,24240.0,nan,nan,nan,nan,断上下线
8.98,6.06,1.29%,46.0,25.6,28.2,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
8.81,6.08,1.29%,53.0,24.5,28.1,24607.5,柠檬酸0g,6.00%,7.00%,0.85,断上线
8.59,6.05,1.29%,48.5,24.3,28.2,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
nan,nan,nan,nan,nan,nan,24240.0,nan,nan,nan,nan,跳线
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,跳线
8.79,6.05,1.29%,57.7,25.3,28.1,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
8.14,6.02,1.29%,36.0,24.8,28.4,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
8.14,6.02,1.29%,36.0,24.8,28.4,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
9.2,5.9,1.29%,38.6,24.9,28.0,24105.0,柠檬酸0g,6.00%,7.00%,0.92,nan
8.62,6.1,1.29%,50.7,24.6,28.0,24240.0,柠檬酸0g,6.00%,7.00%,0.91,nan
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,跳线
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,提料挂断线
8.81,6.08,1.29%,53.0,24.5,28.1,24607.5,柠檬酸0g,6.00%,7.00%,0.85,提料挂断线
8.67,6.09,1.29%,61.0,25.3,28.1,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
8.93,6.05,1.30%,47.7,24.9,28.1,24500.0,柠檬酸0g,6.00%,7.00%,0.91,设备故障
nan,nan,nan,nan,nan,nan,24240.0,nan,nan,nan,nan,nan
9.41,6.07,1.30%,38.8,25.6,28.1,24500.0,柠檬酸0g,6.00%,7.00%,0.92,nan
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
8.97,6.1,1.29%,50.6,25.1,28.0,24240.0,柠檬酸0g,6.00%,7.00%,0.91,跳线
8.48,5.97,1.30%,61.3,25.6,27.9,24287.5,柠檬酸0g,6.00%,7.00%,0.91,nan
8.65,5.96,1.30%,68.7,25.4,27.9,24287.5,柠檬酸0g,6.00%,7.00%,0.91,nan
8.85,5.91,1.30%,52.3,24.9,28.0,24287.5,柠檬酸0g,6.00%,7.00%,0.91,跳线
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24607.5,nan,nan,nan,nan,提料挂断线
8.5,6.08,1.30%,48.9,25.0,28.1,24607.5,柠檬酸0g,6.00%,7.00%,0.85,断缝
8.4,6.09,1.28%,55.4,25.1,27.9,24607.5,柠檬酸0g,6.00%,7.00%,0.85,断缝
9.16,6.13,1.27%,51.0,25.8,28.0,23850.0,柠檬酸0g,5.00%,7.00%,0.91,提料挂断线
9.57,5.84,1.29%,46.8,25.1,28.0,24105.0,柠檬酸0g,6.00%,7.00%,0.92,跳线
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
8.4,6.08,1.29%,43.3,24.7,28.2,24607.5,柠檬酸0g,6.00%,7.00%,0.85,断缝
8.4,6.09,1.28%,55.4,25.1,27.9,24607.5,柠檬酸0g,6.00%,7.00%,0.85,断缝
8.14,6.02,1.29%,36.0,24.8,28.4,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,粘胶面卷线
nan,nan,nan,nan,nan,nan,24607.5,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24607.5,nan,nan,nan,nan,nan
8.41,6.08,1.28%,43.1,24.9,28.0,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
9.54,6.12,1.29%,53.6,25.8,28.1,24500.0,柠檬酸0g,6.00%,7.00%,0.92,断缝
8.52,5.92,1.30%,49.6,25.3,28.1,24287.5,柠檬酸0g,6.00%,7.00%,0.92,跳线
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,断缝
nan,nan,nan,nan,nan,nan,24240.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
9.07,5.98,1.29%,55.0,25.6,28.2,23850.0,柠檬酸0g,5.00%,7.00%,0.92,跳线
9.54,6.12,1.29%,53.6,25.8,28.1,24500.0,柠檬酸0g,6.00%,7.00%,0.92,nan
9.41,6.07,1.30%,38.8,25.6,28.1,24500.0,柠檬酸0g,6.00%,7.00%,0.92,nan
8.72,6.02,1.30%,81.2,25.5,28.1,24075.0,柠檬酸0g,5.00%,7.00%,0.91,nan
9.33,6.16,1.28%,48.5,25.1,28.2,23850.0,柠檬酸0g,5.00%,7.00%,0.91,nan
nan,nan,nan,nan,nan,nan,24607.5,nan,nan,nan,nan,nan
9.54,6.12,1.29%,53.6,25.8,28.1,24500.0,柠檬酸0g,6.00%,7.00%,0.92,改工艺
nan,nan,nan,nan,nan,nan,24240.0,nan,nan,nan,nan,断缝
nan,nan,nan,nan,nan,nan,24287.5,nan,nan,nan,nan,nan
9.57,5.84,1.29%,46.8,25.1,28.0,24105.0,柠檬酸0g,6.00%,7.00%,0.92,nan
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,nan
9.54,6.12,1.29%,53.6,25.8,28.1,24500.0,柠檬酸0g,6.00%,7.00%,0.92,断缝
9.07,5.98,1.29%,55.0,25.6,28.2,24000.0,柠檬酸0g,5.00%,7.00%,0.92,nan
8.4,6.05,1.28%,40.3,24.6,28.0,24607.5,柠檬酸0g,6.00%,7.00%,0.85,断缝
8.59,5.96,1.29%,63.1,24.9,28.0,24287.5,柠檬酸0g,6.00%,7.00%,0.91,nan
9.12,5.97,1.28%,62.8,25.1,28.0,24130.0,柠檬酸0g,5.00%,7.00%,0.92,nan
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,nan
8.7,6.0,1.28%,65.6,24.6,28.3,24130.0,柠檬酸0g,5.00%,7.00%,0.92,nan
9.04,5.91,1.30%,45.5,25.1,27.9,24287.5,柠檬酸0g,6.00%,7.00%,0.91,加切
8.97,6.1,1.29%,50.6,25.1,28.0,24240.0,柠檬酸0g,6.00%,7.00%,0.91,断缝
8.48,5.97,1.30%,61.3,25.6,27.9,24287.5,柠檬酸0g,6.00%,7.00%,0.91,nan
8.6,6.0,1.30%,62.9,25.3,28.0,24287.5,柠檬酸0g,6.00%,7.00%,0.91,nan
8.93,6.05,1.30%,47.7,24.9,28.1,24500.0,柠檬酸0g,6.00%,7.00%,0.91,nan
nan,nan,nan,nan,nan,nan,24000.0,nan,nan,nan,nan,nan
9.1,5.99,1.28%,64.3,26.1,28.1,24000.0,柠檬酸0g,5.00%,7.00%,0.91,nan
9.33,6.16,1.28%,48.5,25.1,28.2,23850.0,柠檬酸0g,5.00%,7.00%,0.91,断缝
8.5,6.08,1.30%,48.9,25.0,28.1,24607.5,柠檬酸0g,6.00%,7.00%,0.85,断缝
8.52,6.06,1.29%,49.1,24.1,28.0,24130.0,柠檬酸0g,5.00%,7.00%,0.91,nan
9.5,5.99,1.30%,67.6,26.6,28.1,24075.0,转换阶段,6.00%,7.00%,0.92,nan
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
8.4,6.05,1.28%,40.3,24.6,28.0,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
8.24,6.12,1.27%,44.9,25.4,28.0,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
8.68,6.03,1.30%,60.1,25.6,27.8,24287.5,柠檬酸0g,6.00%,7.00%,0.92,nan
8.48,5.97,1.30%,61.3,25.6,27.9,24287.5,柠檬酸0g,6.00%,7.00%,0.91,跳线
8.57,5.92,1.30%,60.8,25.3,28.0,24287.5,柠檬酸0g,6.00%,7.00%,0.91,nan
9.5,5.99,1.30%,67.6,26.6,28.1,24075.0,转换阶段,6.00%,7.00%,0.92,nan
nan,nan,nan,nan,nan,nan,24240.0,nan,nan,nan,nan,加切
nan,nan,nan,nan,nan,nan,24075.0,nan,nan,nan,nan,改工艺
9.24,6.11,1.28%,44.8,25.5,28.0,23850.0,柠檬酸0g,5.00%,7.00%,0.91,提料挂断线
9.57,5.84,1.29%,46.8,25.1,28.0,24105.0,柠檬酸0g,6.00%,7.00%,0.92,nan
8.92,5.99,1.28%,63.6,25.8,28.3,24000.0,柠檬酸0g,5.00%,7.00%,0.92,nan
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24287.5,nan,nan,nan,nan,跳线
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24075.0,nan,nan,nan,nan,设备故障
8.59,6.05,1.29%,48.5,24.3,28.2,24607.5,柠檬酸0g,6.00%,7.00%,0.85,跳线
8.79,6.05,1.29%,57.7,25.3,28.1,24607.5,柠檬酸0g,6.00%,7.00%,0.85,断缝
nan,nan,nan,nan,nan,nan,24510.0,nan,nan,nan,nan,断缝
8.67,6.09,1.29%,61.0,25.3,28.1,24607.5,柠檬酸0g,6.00%,7.00%,0.85,nan
9.0,6.02,1.30%,69.2,25.1,28.2,24075.0,柠檬酸0g,5.00%,7.00%,0.92,断缝
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,跳线
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,nan
9.04,5.85,1.30%,41.0,24.5,27.9,24105.0,柠檬酸0g,6.00%,7.00%,0.91,nan
9.04,5.85,1.30%,41.0,24.5,27.9,24105.0,柠檬酸0g,6.00%,7.00%,0.91,nan
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,nan
8.62,5.98,1.30%,60.3,25.1,27.9,24287.5,柠檬酸0g,6.00%,7.00%,0.92,nan
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24630.0,nan,nan,nan,nan,nan
8.85,6.04,1.29%,62.6,25.3,28.0,24287.5,柠檬酸0g,6.00%,7.00%,0.91,nan
11.87,5.99,1.22%,47.0,25.1,27.9,23595.0,转换阶段,5.00%,7.00%,0.91,断缝
11.26,5.92,1.26%,56.0,24.9,28.1,23687.5,转换阶段,5.00%,7.00%,0.92,断上下线
13.44,5.46,1.28%,71.8,26.1,27.8,23700.0,柠檬酸80g,6.00%,0.00%,0.91,断上下线
8.71,6.08,1.29%,46.3,24.3,28.2,24500.0,柠檬酸0g,6.00%,7.00%,0.91,nan
13.65,5.49,1.27%,58.6,25.6,28.0,23837.5,柠檬酸80g,6.00%,0.00%,0.91,nan
14.28,5.48,1.28%,57.6,24.9,28.1,23837.5,柠檬酸80g,6.00%,0.00%,0.91,nan
10.49,6.01,1.26%,51.3,25.1,28.3,23262.5,柠檬酸0g,5.00%,7.00%,0.91,跳线
13.38,5.57,1.28%,72.1,25.5,28.1,23595.0,柠檬酸80g,6.00%,0.00%,0.91,断上下线
10.92,6.04,1.26%,60.7,25.6,28.1,23385.0,柠檬酸0g,5.00%,7.00%,0.92,nan
10.32,6.01,1.27%,45.6,25.8,28.1,23352.5,柠檬酸0g,5.00%,7.00%,0.92,nan
10.63,6.02,1.26%,59.6,25.9,28.2,23385.0,柠檬酸0g,5.00%,7.00%,0.91,nan
10.28,5.98,1.27%,35.1,24.5,28.0,23262.5,柠檬酸0g,5.00%,7.00%,0.92,nan
11.78,5.99,1.23%,58.5,25.7,28.1,23595.0,转换阶段,6.00%,7.00%,0.91,断缝
13.79,5.64,1.28%,82.6,25.5,28.0,23595.0,柠檬酸80g,6.00%,0.00%,0.91,nan
13.67,5.51,1.28%,61.2,25.3,28.0,23650.0,柠檬酸80g,6.00%,0.00%,0.91,跳线
13.84,5.61,1.28%,97.9,24.2,28.1,23595.0,柠檬酸80g,6.00%,0.00%,0.91,断上下线
11.87,5.99,1.22%,47.0,25.1,27.9,23595.0,转换阶段,5.00%,7.00%,0.91,跳线
10.76,6.13,1.26%,72.0,25.5,28.2,23385.0,柠檬酸0g,5.00%,7.00%,0.91,断上线
10.92,6.04,1.26%,60.7,25.6,28.1,23385.0,柠檬酸0g,5.00%,7.00%,0.92,nan
13.35,5.52,1.28%,79.0,25.0,27.9,23650.0,柠檬酸80g,6.00%,0.00%,0.91,nan
13.36,5.47,1.28%,62.5,25.2,28.0,23700.0,柠檬酸80g,6.00%,0.00%,0.91,nan
9.87,6.09,1.27%,47.5,25.6,28.2,23352.5,柠檬酸0g,5.00%,7.00%,0.92,nan
10.21,6.05,1.26%,58.2,25.3,28.2,23352.5,柠檬酸0g,5.00%,7.00%,0.92,nan
10.02,6.09,1.27%,57.3,24.9,28.2,23352.5,柠檬酸0g,5.00%,7.00%,0.91,nan
12.34,5.94,1.23%,55.3,25.2,28.1,23687.5,转换阶段,5.00%,7.00%,0.91,nan
14.04,5.52,1.28%,83.3,25.6,28.0,23700.0,柠檬酸80g,6.00%,0.00%,0.91,断上下线
10.28,5.98,1.27%,35.1,24.5,28.0,23262.5,柠檬酸0g,5.00%,7.00%,0.92,断缝
nan,nan,nan,nan,nan,nan,24240.0,nan,nan,nan,nan,跳线
13.11,5.57,1.28%,61.1,25.3,28.0,23595.0,柠檬酸80g,6.00%,0.00%,0.91,nan
9.87,6.09,1.27%,47.5,25.6,28.2,23352.5,柠檬酸0g,5.00%,7.00%,0.92,nan
10.02,6.09,1.27%,57.3,24.9,28.2,23352.5,柠檬酸0g,5.00%,7.00%,0.91,nan
13.87,5.48,1.28%,52.0,24.1,27.9,23700.0,柠檬酸80g,6.00%,0.00%,0.91,断下线
9.57,5.84,1.29%,46.8,25.1,28.0,24105.0,柠檬酸0g,6.00%,7.00%,0.92,跳线
nan,nan,nan,nan,nan,nan,23595.0,nan,nan,nan,nan,nan
11.53,5.99,1.24%,54.8,25.1,28.1,23687.5,转换阶段,5.00%,7.00%,0.91,跳线
14.52,5.39,1.28%,55.2,25.2,28.1,23837.5,柠檬酸100g,6.00%,0.00%,0.91,nan
11.28,6.14,1.26%,61.7,25.4,28.0,23687.5,转换阶段,5.00%,7.00%,0.91,nan
14.04,5.52,1.28%,83.3,25.6,28.0,23700.0,柠檬酸80g,6.00%,0.00%,0.91,nan
13.36,5.47,1.28%,62.5,25.2,28.0,23650.0,柠檬酸80g,6.00%,0.00%,0.91,nan
9.87,6.09,1.27%,47.5,25.6,28.2,23352.5,柠檬酸0g,5.00%,7.00%,0.92,断上下线
nan,nan,nan,nan,nan,nan,23352.5,nan,nan,nan,nan,断下线
8.75,5.89,1.29%,51.6,24.9,27.9,24287.5,柠檬酸0g,6.00%,7.00%,0.92,nan
9.2,5.9,1.29%,38.6,24.9,28.0,24105.0,柠檬酸0g,6.00%,7.00%,0.92,nan
8.57,5.96,1.30%,53.7,25.4,27.8,24287.5,柠檬酸0g,6.00%,7.00%,0.91,nan
10.4,5.98,1.27%,49.7,25.4,28.2,23352.5,柠檬酸0g,5.00%,7.00%,0.91,断上下线
10.02,6.09,1.27%,57.3,24.9,28.2,23352.5,柠檬酸0g,5.00%,7.00%,0.91,nan
9.78,6.15,1.28%,58.6,26.2,28.2,23352.5,柠檬酸0g,5.00%,7.00%,0.91,跳线
11.16,6.11,1.26%,71.1,25.6,28.0,23385.0,柠檬酸0g,5.00%,7.00%,0.92,nan
13.48,5.59,1.28%,70.8,25.4,28.1,23650.0,柠檬酸80g,6.00%,0.00%,0.91,nan
13.11,5.5,1.28%,49.7,25.1,28.1,23650.0,柠檬酸80g,6.00%,0.00%,0.91,nan
nan,nan,nan,nan,nan,nan,24105.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,24240.0,nan,nan,nan,nan,断缝
9.12,5.88,1.30%,41.4,24.9,27.9,24105.0,柠檬酸0g,6.00%,7.00%,0.91,nan
11.16,6.11,1.26%,71.1,25.6,28.0,23687.5,柠檬酸0g,5.00%,7.00%,0.92,nan
nan,nan,nan,nan,nan,nan,24240.0,nan,nan,nan,nan,nan
13.84,5.61,1.28%,97.9,24.2,28.1,23595.0,柠檬酸80g,6.00%,0.00%,0.91,nan
11.76,5.99,1.22%,53.8,25.5,28.0,23595.0,转换阶段,5.00%,7.00%,0.91,nan
13.67,5.51,1.28%,61.2,25.3,28.0,23650.0,柠檬酸80g,6.00%,0.00%,0.91,nan
9.41,6.07,1.30%,38.8,25.6,28.1,24500.0,柠檬酸0g,6.00%,7.00%,0.92,nan
10.65,5.97,1.27%,47.7,25.4,28.2,23262.5,柠檬酸0g,5.00%,7.00%,0.92,nan
10.98,6.05,1.27%,50.0,25.7,28.1,23385.0,柠檬酸0g,5.00%,7.00%,0.91,nan
11.28,6.14,1.26%,61.7,25.4,28.0,23687.5,转换阶段,5.00%,7.00%,0.91,nan
13.11,5.5,1.28%,49.7,25.1,28.1,23650.0,柠檬酸80g,6.00%,0.00%,0.91,nan
13.66,5.51,1.28%,73.7,25.1,28.2,23650.0,柠檬酸80g,6.00%,0.00%,0.91,nan
14.52,5.39,1.28%,55.2,25.2,28.1,23837.5,柠檬酸100g,6.00%,0.00%,0.91,nan
10.98,6.05,1.27%,50.0,25.7,28.1,23385.0,柠檬酸0g,5.00%,7.00%,0.91,nan
9.59,6.06,1.30%,48.6,25.1,28.3,24500.0,柠檬酸0g,6.00%,7.00%,0.92,nan
9.41,6.07,1.30%,38.8,25.6,28.1,24500.0,柠檬酸0g,6.00%,7.00%,0.92,nan
10.65,6.0,1.26%,57.9,24.2,28.2,23385.0,柠檬酸0g,5.00%,7.00%,0.91,nan
nan,nan,nan,nan,nan,nan,24240.0,nan,nan,nan,nan,nan
14.04,5.52,1.28%,83.3,25.6,28.0,23700.0,柠檬酸80g,6.00%,0.00%,0.91,nan
11.28,6.14,1.26%,61.7,25.4,28.0,23687.5,转换阶段,5.00%,7.00%,0.91,nan
9.78,6.15,1.28%,58.6,26.2,28.2,23352.5,柠檬酸0g,5.00%,7.00%,0.91,nan
10.38,6.03,1.28%,45.9,24.9,28.2,23352.5,柠檬酸0g,5.00%,7.00%,0.91,nan
10.4,5.98,1.27%,49.7,25.4,28.2,23352.5,柠檬酸0g,5.00%,7.00%,0.91,nan
10.28,5.98,1.27%,35.1,24.5,28.0,23262.5,柠檬酸0g,5.00%,7.00%,0.92,跳线
14.28,5.48,1.28%,57.6,24.9,28.1,23837.5,柠檬酸80g,6.00%,0.00%,0.91,nan
13.68,5.36,1.28%,44.2,24.5,28.1,23837.5,柠檬酸80g,6.00%,0.00%,0.91,nan
